Index No,Organization,Year,Performance Rating
SKZKXA,UNICEF,2018,Solid Achievement
SKSZ,UNICEF,2018,Solid Achievement
SKSPKS,UNICEF,2017,Outstanding Achievement
SKSPKS,UNICEF,2018,Outstanding Achievement
SKSDPP,UNICEF,2017,Solid Achievement
SKSDPP,UNICEF,2018,Solid Achievement
SKSDPR,UNICEF,2016,Solid Achievement
SKSDF,UNICEF,2016,Solid Achievement
SKPZRP,UNICEF,2017,Outstanding Achievement
SKPDDX,UNICEF,2017,Solid Achievement
SKPDDX,UNICEF,2018,Solid Achievement
SKPRFS,UNDP,2017,Successful performance
SKPRFS,UNDP,2018,Successful PLUS performance
SKPOSS,UNDP,2018,Successful performance
SKPOKX,UNDP,2017,Successful PLUS performance
SKPXAA,UNDP,2017,Successful performance
SKPXAA,UNDP,2018,
SKDZXX,UNDP,2017,Successful performance
SKDRDA,UNDP,2017,Successful performance
SKDRDA,UNDP,2018,Partially successful performance
SKDAXP,UNICEF,2018,Outstanding Achievement
SKDXRK,UNICEF,2017,Solid Achievement
SKDXRK,UNICEF,2018,Solid Achievement
SKRSFZ,UNICEF,2016,Outstanding Achievement
SSXRKA,UNDP,2018,Successful PLUS performance
SSXRXX,UNDP,2018,Successful PLUS performance
SSXFXA,UNDP,2017,Successful performance
SSXFXA,UNDP,2018,Successful performance
SSXOSX,UNICEF,2017,Solid Achievement
SSXXKA,UNICEF,2016,Solid Achievement
SPZPX,UNICEF,2017,Solid Achievement
SPZPX,UNICEF,2018,Solid Achievement
SPZFZD,UNDP,2017,Successful performance
SPZFZD,UNDP,2018,Successful performance
SPZOPO,UNICEF,2017,Solid Achievement
SPZXRP,UNICEF,2017,Solid Achievement
SPZXOK,UNDP,2017,Successful performance
SPSZSO,UNDP,2017,Successful performance
SPSZPF,UNDP,2017,Successful PLUS performance
SPSZPF,UNDP,2018,Successful performance
SPSZOP,UNICEF,2017,Solid Achievement
SPSPZF,UNICEF,2017,Solid Achievement
SPSPZF,UNICEF,2018,Solid Achievement
SPSPZX,UNDP,2018,Successful performance
SPSDRK,UNDP,2017,Successful performance
SPSDRK,UNDP,2018,Successful PLUS performance
SPSKDS,UNICEF,2017,Solid Achievement
SPSKDS,UNICEF,2018,Solid Achievement
SPSOFO,UNICEF,2016,Solid Achievement
SPPZSR,UNDP,2018,Successful performance
SPPZRA,UNICEF,2017,Solid Achievement
SPPZRA,UNICEF,2018,Solid Achievement
SPPKFS,UNICEF,2016,Outstanding Achievement
SPPORA,UNICEF,2016,Solid Achievement
SPPXS,UNICEF,2016,Outstanding Achievement
SPPXDF,UNICEF,2016,Solid Achievement
SPD,UNICEF,2016,Solid Achievement
SPDZPA,UNICEF,2017,Solid Achievement
SPDPPZ,UNICEF,2017,Solid Achievement
SPDPPZ,UNICEF,2018,Solid Achievement
SPDDOX,UNICEF,2017,Solid Achievement
SPDDOX,UNICEF,2018,Solid Achievement
SPDRAR,UNICEF,2016,Solid Achievement
SPDOKZ,UNICEF,2018,Solid Achievement
SPDXP,UNDP,2018,Successful performance
SPRPFA,UNICEF,2016,Outstanding Achievement
SPRAXD,UNICEF,2016,Solid Achievement
SPRFRO,UNICEF,2016,Solid Achievement
SPADKP,UNDP,2017,Successful PLUS performance
SPADKP,UNDP,2018,Successful PLUS performance
SPARDZ,UNICEF,2017,Solid Achievement
SPARDZ,UNICEF,2018,Solid Achievement
SPAXFF,UNICEF,2017,Solid Achievement
SPAXFF,UNICEF,2018,Solid Achievement
SPFDXA,UNICEF,2017,Solid Achievement
SPFDXA,UNICEF,2018,Solid Achievement
SPFRPX,UNICEF,2017,Solid Achievement
SPFRPX,UNICEF,2018,Solid Achievement
SPFASR,UNICEF,2016,Solid Achievement
SPFADO,UNICEF,2017,Outstanding Achievement
SPFKPD,UNICEF,2016,Solid Achievement
SPKDZP,UNDP,2017,Successful performance
SPKAOZ,UNICEF,2017,Outstanding Achievement
SPKFFZ,UNICEF,2016,Low Achievement
SPKKAA,UNDP,2017,Successful PLUS performance
SPODOF,UNICEF,2016,Outstanding Achievement
SPODOF,UNICEF,2017,Solid Achievement
SPORZ,UNICEF,2017,Solid Achievement
SPORZ,UNICEF,2018,Solid Achievement
SPOADD,UNICEF,2017,Solid Achievement
SPOAXD,UNICEF,2017,Solid Achievement
SPOAXD,UNICEF,2018,Solid Achievement
SPOOPZ,UNICEF,2017,Solid Achievement
SPOOPZ,UNICEF,2018,Solid Achievement
SPXDF,UNICEF,2017,Solid Achievement
SPXAZO,UNICEF,2016,Solid Achievement
SPXFFZ,UNICEF,2016,Solid Achievement
SPXKP,UNICEF,2017,Solid Achievement
SPXKP,UNICEF,2018,Solid Achievement
SDZZK,UNICEF,2018,Outstanding Achievement
SDZPZ,UNICEF,2016,Outstanding Achievement
SDZRAF,UNICEF,2017,Solid Achievement
SDZROR,UNICEF,2018,Solid Achievement
SDSSDX,UNICEF,2017,Solid Achievement
SDSSDX,UNICEF,2018,Solid Achievement
SDSPSP,UNICEF,2017,Solid Achievement
SDSRK,UNICEF,2018,Solid Achievement
SDSARK,UNICEF,2016,Solid Achievement
SDSKOO,UNICEF,2016,Solid Achievement
SDPZPA,UNDP,2018,Successful performance
SDPSZK,UNICEF,2017,Outstanding Achievement
SDPSZK,UNICEF,2018,Outstanding Achievement
SDPOKS,UNDP,2017,Successful PLUS performance
SDPOKS,UNDP,2018,Successful PLUS performance
SDDZOA,UNDP,2017,Successful PLUS performance
SFRKZA,UNICEF,2018,Solid Achievement
SFRXRK,UNDP,2017,Successful performance
SFRXRK,UNDP,2018,Successful performance
SFRXAP,UNICEF,2018,Solid Achievement
SFAZKD,UNICEF,2016,Solid Achievement
SFAZKD,UNICEF,2017,Low Achievement
SFASZK,UNICEF,2017,Solid Achievement
SFAPAR,UNICEF,2017,Solid Achievement
SFFZX,UNICEF,2016,Outstanding Achievement
SFFDKX,UNICEF,2017,Solid Achievement
SFFDKX,UNICEF,2018,Solid Achievement
SFFRKS,UNDP,2017,Successful PLUS performance
SFFRKS,UNDP,2018,Successful performance
SFFFSZ,UNICEF,2016,Solid Achievement
SFFXDZ,UNDP,2018,Successful PLUS performance
SFKSR,UNICEF,2017,Solid Achievement
SFKSR,UNICEF,2018,Solid Achievement
SFKPRS,UNDP,2017,Successful performance
SFKPRS,UNDP,2018,Successful performance
SFKAOO,UNICEF,2016,Outstanding Achievement
SFKFDO,UNDP,2017,
SFKFOS,UNICEF,2016,Outstanding Achievement
SFKKZX,UNICEF,2016,Solid Achievement
SFKKS,UNICEF,2017,Solid Achievement
SFKKS,UNICEF,2018,Solid Achievement
SFKKOK,UNICEF,2017,Outstanding Achievement
SFKKOK,UNICEF,2018,Outstanding Achievement
SFOPDF,UNICEF,2016,Solid Achievement
SFORDK,UNICEF,2018,Solid Achievement
SFOOAK,UNICEF,2018,Solid Achievement
SFXSKO,UNDP,2017,Successful PLUS performance
SFXSKO,UNDP,2018,Successful performance
SFXSXS,UNICEF,2016,Outstanding Achievement
SFXPPR,UNICEF,2016,Solid Achievement
SFXPDO,UNICEF,2017,Solid Achievement
SFXPDO,UNICEF,2018,Solid Achievement
SFXRFP,UNICEF,2017,Solid Achievement
SFXRFP,UNICEF,2018,Solid Achievement
SFXRKS,UNDP,2017,Successful performance
SFXFRD,UNICEF,2016,Solid Achievement
SFXFAX,UNICEF,2016,Solid Achievement
SFXFXR,UNICEF,2016,Solid Achievement
SFXKR,UNDP,2017,Successful PLUS performance
SFXKR,UNDP,2018,Successful PLUS performance
SKZZOP,UNDP,2017,Successful performance
SKZZOP,UNDP,2018,Successful performance
SKZDAR,UNDP,2018,Successful PLUS performance
SKZKXA,UNICEF,2017,Outstanding Achievement
SKSSSS,UNDP,2017,Successful PLUS performance
SKSSSS,UNDP,2018,Successful PLUS performance
SKSSAF,UNICEF,2016,Solid Achievement
SKSDDX,UNICEF,2016,Outstanding Achievement
SKSDDX,UNICEF,2017,Solid Achievement
SKSXKZ,UNDP,2017,Successful PLUS performance
SKSXKZ,UNDP,2018,Successful PLUS performance
SKSXOP,UNICEF,2016,Outstanding Achievement
SKPZRP,UNICEF,2018,Outstanding Achievement
SKPSXF,UNICEF,2016,Outstanding Achievement
SKPROO,UNICEF,2016,Solid Achievement
SKPOSS,UNDP,2017,Successful PLUS performance
SKPXFR,UNICEF,2017,Solid Achievement
SKPXXA,UNICEF,2017,Solid Achievement
SKDPPS,UNICEF,2016,Solid Achievement
SKDKAP,UNICEF,2017,Solid Achievement
SKDKAP,UNICEF,2018,Solid Achievement
SKDKOR,UNDP,2017,Successful PLUS performance
SKDKOR,UNDP,2018,Successful performance
SKDOFO,UNDP,2017,Successful PLUS performance
SKRSS,UNICEF,2017,Solid Achievement
SKRSS,UNICEF,2018,Solid Achievement
SKRSFZ,UNICEF,2017,Solid Achievement
SKRSFZ,UNICEF,2018,Solid Achievement
SKRRF,UNICEF,2017,Solid Achievement
SKRRXO,UNICEF,2016,Solid Achievement
SKRF,UNICEF,2018,Solid Achievement
SKRFSR,UNICEF,2017,Outstanding Achievement
SKROPS,UNICEF,2018,Solid Achievement
SKRX,UNDP,2018,Successful performance
SKASRO,UNDP,2018,Partially successful performance
SKAPFD,UNDP,2017,
SKAFPF,UNDP,2017,Successful PLUS performance
SKAFPF,UNDP,2018,Successful PLUS performance
SKAKA,UNICEF,2016,Solid Achievement
SKAOPX,UNICEF,2016,Solid Achievement
SKAXFA,UNICEF,2016,Outstanding Achievement
SKFZZO,UNICEF,2016,Solid Achievement
SKFPXZ,UNDP,2018,Successful PLUS performance
SKFAPD,UNDP,2017,Successful performance
SKFAPD,UNDP,2018,Successful performance
SKKZOS,UNDP,2017,Successful PLUS performance
SXKAKX,UNDP,2018,Successful PLUS performance
SXKOFA,UNICEF,2016,Outstanding Achievement
SXOSZR,UNICEF,2017,Solid Achievement
SXOSZR,UNICEF,2018,Solid Achievement
SXOPRX,UNDP,2017,Successful performance
SXOPRX,UNDP,2018,Successful PLUS performance
SXOKZ,UNICEF,2018,Solid Achievement
SXOXSF,UNDP,2017,Successful performance
SXOXSF,UNDP,2018,Successful performance
SXOXDZ,UNICEF,2016,Outstanding Achievement
SXXPPK,UNDP,2017,Successful performance
SXXPPK,UNDP,2018,Successful PLUS performance
SXXAOD,UNICEF,2017,Solid Achievement
SXXFRX,UNICEF,2017,Solid Achievement
SXXFRX,UNICEF,2018,Solid Achievement
SXXORD,UNDP,2018,Successful PLUS performance
PZZZXZ,UNICEF,2017,Solid Achievement
PZZDO,UNDP,2017,Successful performance
PZZRPR,UNICEF,2017,Solid Achievement
PZZRPR,UNICEF,2018,Solid Achievement
PZZFA,UNDP,2017,Successful performance
PZZOKX,UNDP,2017,Successful performance
PZZOKX,UNDP,2018,Successful performance
PZSSKD,UNDP,2017,Successful performance
PZSSKD,UNDP,2018,Successful performance
PZSPAO,UNICEF,2018,Solid Achievement
PZSRFS,UNDP,2017,Successful performance
PZSRFS,UNDP,2018,Successful performance
PZSFSF,UNICEF,2016,Outstanding Achievement
PZSKXX,UNDP,2017,Successful PLUS performance
PZSOXO,UNDP,2017,Successful performance
PZSOXO,UNDP,2018,Successful performance
PZSXDF,UNICEF,2017,Solid Achievement
PZSXDF,UNICEF,2018,Solid Achievement
PZSXDO,UNDP,2017,Successful performance
PZSXDO,UNDP,2018,Successful performance
PZSXKF,UNICEF,2017,Solid Achievement
PZPZPR,UNICEF,2016,Solid Achievement
PZPPOK,UNICEF,2017,Solid Achievement
PZPPOK,UNICEF,2018,Solid Achievement
PZPD,UNICEF,2017,Solid Achievement
PZPD,UNICEF,2018,Solid Achievement
PZPDD,UNICEF,2017,Solid Achievement
PZPASX,UNICEF,2016,Solid Achievement
PZPAXZ,UNICEF,2016,Outstanding Achievement
PZPFZX,UNICEF,2017,Solid Achievement
PZPFZX,UNICEF,2018,Solid Achievement
PZPXAS,UNDP,2018,Successful performance
PZDZAO,UNDP,2018,Successful performance
PZDSSF,UNICEF,2016,Solid Achievement
PZDSAK,UNICEF,2016,Solid Achievement
PZDAAA,UNICEF,2016,Solid Achievement
PZDKS,UNDP,2017,Successful performance
PZDOD,UNICEF,2016,Low Achievement
PZRZAZ,UNDP,2017,Successful PLUS performance
PZRZAZ,UNDP,2018,Successful PLUS performance
PZRPAA,UNICEF,2018,Solid Achievement
PZRDSP,UNICEF,2018,Solid Achievement
PZRRA,UNICEF,2017,Solid Achievement
PZRRA,UNICEF,2018,Solid Achievement
PZRKP,UNDP,2017,Successful PLUS performance
PZRKP,UNDP,2018,Successful PLUS performance
PZRKDF,UNDP,2018,Successful PLUS performance
PZAPSZ,UNICEF,2016,Solid Achievement
PZAPRS,UNICEF,2016,Solid Achievement
PZAPRO,UNDP,2017,Successful performance
PZAPRO,UNDP,2018,Successful performance
PZAPFP,UNICEF,2016,Solid Achievement
PZARSR,UNICEF,2018,Solid Achievement
PZAAZP,UNICEF,2018,Low Achievement
PZAAZO,UNDP,2018,Successful PLUS performance
PZAASP,UNICEF,2017,Solid Achievement
PZAASP,UNICEF,2018,Solid Achievement
PZAAAD,UNDP,2017,Successful PLUS performance
PZAAKD,UNDP,2017,Successful PLUS performance
PZAAKD,UNDP,2018,Successful PLUS performance
PZAFPK,UNDP,2017,Successful PLUS performance
PZAFPK,UNDP,2018,Successful PLUS performance
PZAXZO,UNICEF,2016,Solid Achievement
PZFZDF,UNICEF,2017,Solid Achievement
PZFZDF,UNICEF,2018,Solid Achievement
PZFPRS,UNICEF,2017,Solid Achievement
PZFPRS,UNICEF,2018,Solid Achievement
PZFPFS,UNICEF,2017,Solid Achievement
PZFPFS,UNICEF,2018,Solid Achievement
PZFFAK,UNICEF,2016,Solid Achievement
PZFFAO,UNICEF,2017,Outstanding Achievement
PZFFAO,UNICEF,2018,Solid Achievement
PZKZOA,UNICEF,2016,Solid Achievement
PZKPDP,UNDP,2017,Successful performance
SZZZPSSZ,UNICEF,2018,Solid Achievement
SZZFSZRS,UNICEF,2017,Solid Achievement
SZZFSZRS,UNICEF,2018,Solid Achievement
SZZFRDPA,UNICEF,2018,Solid Achievement
SZZFOKAF,UNICEF,2018,Solid Achievement
SZZFXO,UNICEF,2017,Solid Achievement
SZZFXO,UNICEF,2018,Solid Achievement
SZZKSD,UNDP,2017,Successful performance
SZZKRS,UNICEF,2016,Solid Achievement
SZZKFP,UNICEF,2017,Solid Achievement
SZZKFP,UNICEF,2018,Solid Achievement
SZZKOX,UNICEF,2018,Solid Achievement
SZZKXZSO,UNDP,2018,Successful performance
SZZOPRKZ,UNDP,2017,
SZZOFRD,UNDP,2018,Partially successful performance
SZSZOK,UNICEF,2017,Solid Achievement
SZSZOK,UNICEF,2018,Solid Achievement
SZSSZK,UNICEF,2016,Solid Achievement
SZSPZD,UNICEF,2017,Outstanding Achievement
SZSPZD,UNICEF,2018,Solid Achievement
SZSDDX,UNICEF,2016,Solid Achievement
SZSRSDR,UNDP,2018,Successful PLUS performance
SZSARX,UNICEF,2016,Solid Achievement
SZSFRD,UNICEF,2017,Solid Achievement
SZSOOD,UNICEF,2018,Solid Achievement
SZPZA,UNDP,2017,Successful performance
SZPZA,UNDP,2018,Successful performance
SZPZXZ,UNDP,2018,Successful performance
SZPSXX,UNICEF,2016,Solid Achievement
SZPPSS,UNICEF,2017,Solid Achievement
SZPDKZ,UNDP,2017,Successful PLUS performance
SZPDKZ,UNDP,2018,Successful performance
SZPKPS,UNDP,2017,Successful performance
SZPOPP,UNDP,2017,Successful performance
SZPOPP,UNDP,2018,Successful performance
SZPOAD,UNDP,2018,Partially successful performance
SZPOO,UNICEF,2017,Solid Achievement
SZPXXOK,UNDP,2017,Successful performance
SZPXXOK,UNDP,2018,Successful performance
SZDPKR,UNICEF,2016,Solid Achievement
SZDDZS,UNICEF,2017,Solid Achievement
SZDDZS,UNICEF,2018,Solid Achievement
SZDFFO,UNICEF,2017,Solid Achievement
SZDXKR,UNDP,2018,Successful PLUS performance
SZRZA,UNDP,2017,Successful PLUS performance
SZRZA,UNDP,2018,Successful PLUS performance
SZRZFF,UNDP,2017,Successful performance
SZRZFF,UNDP,2018,Successful performance
SZRDDF,UNICEF,2018,Solid Achievement
SZRFSS,UNICEF,2016,Solid Achievement
SZRKRR,UNICEF,2018,Solid Achievement
SZASAO,UNDP,2017,Successful performance
SZASAO,UNDP,2018,Successful performance
SZAPX,UNDP,2017,Successful performance
SZAPX,UNDP,2018,
SZAPXS,UNDP,2017,Successful performance
SZARSA,UNICEF,2017,Solid Achievement
SZARSA,UNICEF,2018,Solid Achievement
SZARAO,UNDP,2017,Successful PLUS performance
SZARAO,UNDP,2018,Successful performance
SZAKDF,UNICEF,2016,Solid Achievement
SZAXDR,UNDP,2017,Successful performance
SZAXDR,UNDP,2018,Successful PLUS performance
SZAXKZ,UNICEF,2016,Solid Achievement
SZFZFD,UNICEF,2016,Solid Achievement
SZFSAX,UNDP,2018,Successful performance
SZFSKK,UNICEF,2016,Solid Achievement
SZFPKR,UNDP,2017,Successful performance
SZFPKR,UNDP,2018,Successful performance
SZFAFF,UNDP,2017,Successful performance
SZFAFF,UNDP,2018,Successful PLUS performance
SZFAOX,UNDP,2017,Successful performance
SZFAOX,UNDP,2018,Successful performance
SZFFXPR,UNICEF,2016,Solid Achievement
SZKZOK,UNDP,2017,Successful performance
SZKZOK,UNDP,2018,
SZKSS,UNICEF,2016,Solid Achievement
SZKSAF,UNICEF,2016,Outstanding Achievement
SZKRF,UNICEF,2016,Solid Achievement
SZKOAD,UNICEF,2018,Solid Achievement
SZOZPD,UNDP,2017,Successful performance
SZOZXX,UNICEF,2017,Solid Achievement
SZOZXX,UNICEF,2018,Solid Achievement
SZODS,UNDP,2017,Successful PLUS performance
SZORKA,UNICEF,2018,Outstanding Achievement
SZOFAZ,UNICEF,2016,Outstanding Achievement
SZOFOS,UNICEF,2016,Solid Achievement
SZOKAK,UNDP,2017,Successful performance
SZOKAK,UNDP,2018,Successful performance
SZOOSD,UNDP,2018,Performance below standards
SZOOAD,UNICEF,2017,Solid Achievement
SKZKXA,UNICEF,2016,Outstanding Achievement
SKSZ,UNICEF,2017,Solid Achievement
SKSSAF,UNICEF,2017,Solid Achievement
SKSSAF,UNICEF,2018,Solid Achievement
SKSDF,UNICEF,2017,Solid Achievement
SKSFF,UNDP,2017,Successful performance
SKSFF,UNDP,2018,Successful PLUS performance
SKPZZF,UNDP,2017,Successful PLUS performance
SKPZRP,UNICEF,2016,Outstanding Achievement
SKPSXF,UNICEF,2018,Outstanding Achievement
SKPDOK,UNDP,2017,Successful performance
SKPROO,UNICEF,2018,Solid Achievement
SKPFPR,UNDP,2017,Successful PLUS performance
SKPFPR,UNDP,2018,Successful PLUS performance
SKPKKF,UNICEF,2016,Outstanding Achievement
SKPXDD,UNICEF,2018,Solid Achievement
SKPXFR,UNICEF,2016,Solid Achievement
SKPXFR,UNICEF,2018,Outstanding Achievement
SKDZPD,UNDP,2017,Successful performance
SKDZPD,UNDP,2018,
SKDSZD,UNDP,2018,Successful performance
SKDPPS,UNICEF,2018,Solid Achievement
SKDAXP,UNICEF,2017,Solid Achievement
SKDKAP,UNICEF,2016,Solid Achievement
SKRSS,UNICEF,2016,Solid Achievement
SKRRXO,UNICEF,2017,Solid Achievement
SKRRXO,UNICEF,2018,Solid Achievement
SKRF,UNICEF,2016,Solid Achievement
SKRFSR,UNICEF,2016,Outstanding Achievement
SKRKSF,UNICEF,2017,Outstanding Achievement
SKRKSF,UNICEF,2018,Solid Achievement
SKRKAF,UNDP,2017,
SKROSZ,UNDP,2017,Successful PLUS performance
SKROSZ,UNDP,2018,Successful PLUS performance
SKROPS,UNICEF,2016,Solid Achievement
SKASRO,UNDP,2017,Successful performance
SKAPAK,UNDP,2017,Successful PLUS performance
SKAPAK,UNDP,2018,Successful performance
SKAFKD,UNDP,2017,Successful performance
SKAKA,UNICEF,2017,Solid Achievement
SKAKA,UNICEF,2018,Solid Achievement
SKAOPX,UNICEF,2017,Solid Achievement
SKAOPX,UNICEF,2018,Solid Achievement
SKFZZO,UNICEF,2018,Solid Achievement
SKFDRA,UNICEF,2016,Solid Achievement
SKFDRA,UNICEF,2017,Outstanding Achievement
SKFDRA,UNICEF,2018,Outstanding Achievement
SKKP,UNDP,2017,Successful performance
SKKP,UNDP,2018,Successful performance
SKOPR,UNICEF,2016,Solid Achievement
