Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSSSSODR,Z,UNDP,13367,A10,45,,Programme Specialist,2017
SSSSSODR,KSZZPAPP,UNDP,19098,A10,65,External,Spécialiste de Programme Pauvreté NOC,2019
SSSSSRXR,Z,UNDP,11475,A6,5,,Executive Associate,2017
SSSSSRXR,Z,UNDP,12053,A6,172,,Executive Associate,2017
SSSSSRXP,Z,UNDP,18805,A6,3,,Finance Associate (Treasury),2010
SSSSSROZ,SPPPKD,UNDP,27993,A10,5,External,Senior Programme Specialist (Only for UNDP internal staff members),2012
SSSSSROZ,SPPPKD,UNDP,29031,A10,120,External,Senior Programme Specialist (Only for Nepalese Nationals),2012
SSSSSROR,Z,UNDP,34737,A7,10,,Human Resources Associate (Only for UNDP/Nepal Internal National Staff Members),2013
SSSSSROD,Z,UNDP,29056,A10,8,,Assistant Country Director (ACD), Operations (Only for UNDP Nepal internal staff members),2012
SSSSSROD,XKXFKO,UNDP,17042,A10,113,Internal,Operations Manager,2018
SSSSSRKS,Z,UNDP,32349,A9,1,,Finance Analyst (Only applicable for Nepalese staff member),2012
SSSSSRKS,Z,UNDP,32585,A9,253,,Finance Analyst (Only Nepalese Nationals are eligible to apply),2012
SSSSSRKS,XKKZAX,UNDP,15590,A9,199,External,Finance Analyst/Head of Finance Unit,2010
SSSSSRKS,XKXFKO,UNDP,37704,A9,196,Internal,Finance Analyst (Head of Finance Unit) (Only Nepalese nationals are eligible to apply) RE-ADVERTISEMENT,2013
SSSSSRKO,XAPSOX,UNDP,14450,A9,225,External,Human Resources Analyst,2010
SSSSSRKR,Z,UNDP,28391,A16,5,,Travel Assistant (Only for UNDP/Nepal Internal National Staff Members),2012
SSSSSRKD,Z,UNDP,61562,A6,3,,Programme Associate (Only Applicable for Nepalese Nationals),2015
SSSSSRKP,Z,UNDP,25616,A8,3,,Finance Analyst (Only for Nepalese national staff),2011
SSSSSRKP,Z,UNDP,26626,A8,286,,Finance Analyst (Only for Nepalese nationals),2011
SSSSSRFS,Z,UNDP,61559,A6,3,,Programme Associate  (Only Applicable for Nepalese Nationals),2015
SSSSSRDO,FSSAXO,UNDP,44675,A7,75,External,Programme Associate.,2014
SSSSSRDF,KSPKFF,UNDP,44599,A8,3,Internal,Analyste Financier(e),2014
SSSSSRDA,OPDDOK,UNDP,36764,A9,63,Internal,Programme Analyst (Inclusive Local Development Portfolio Manager),2013
SSSSSRPP,Z,UNDP,30991,A11,115,,Economics Specialist (Economist),2012
SSSSSRPP,KZRZKP,UNDP,34539,A11,115,External,National Economic Advisor,2013
SSSSSDSS,DXSDZO,UNDP,50013,A16,21,Internal,Executive Assistant (to DCD/ Program),2014
SSSSSDSZ,Z,UNDP,18872,A15,74,,Logistics Clerk,2018
SSSSSDSX,Z,UNDP,61438,A16,1,,Assistant au Registry,2015
SSSSSDSO,Z,UNDP,61402,A7,4,,Finances Associate,2015
SSSSSDSO,Z,UNDP,62154,A7,83,,Finances Associate,2015
SSSSSDSO,PAXKS,UNDP,21721,A7,52,Internal,Finance Associate,2019
SSSSSDSR,Z,UNDP,30876,A14,51,,Chauffeur Commis au Protocole,2012
SSSSSDSR,Z,UNDP,66248,A14,47,,Chauffeur (e) & Commis au Protocole et à la Logistique,2016
SSSSSDSP,Z,UNDP,10059,A16,20,,Administrative Assistant,2017
SSSSSDSP,SOSDOZ,UNDP,19119,A16,110,Internal,Assistant (e ) aux Opérations,2018
SSSSSDZS,Z,UNDP,61461,A6,2,,Associé au Programme,2015
SSSSSDZZ,Z,UNDP,31572,A6,214,,Associé au PMSU,2012
SSSSSDZX,Z,UNDP,23390,A13,37,,Driver,2019
SSSSSDZF,Z,UNDP,61492,A14,37,,Chauffeur Principal,2015
SSSSSDZA,Z,UNDP,26680,A6,206,,Associé au Programme,2011
SSSSSDZA,RAOSXD,UNDP,27541,A6,393,External,Associé au programme,2012
SSSSSDZD,Z,UNDP,64851,A6,4,,Executive Associate to the Country Director,2016
SSSSSDXS,Z,UNDP,62170,A6,86,,Human Resources (HR) Associate,2015
SSSSSDXX,KSZZZRFD,UNDP,15277,A14,74,External,Registry Clerk,2018
SSSSSDXR,Z,UNDP,11108,A6,5,,Finance Associate,2017
SSSSSDXD,ARSXDA,UNDP,11088,A8,4,External,Operations Analyst,2017
SSSSSDXD,ARSXDA,UNDP,11688,A8,38,External,Operations Analyst,2017
SSSSSDOS,Z,UNDP,18752,A9,89,,Analyste aux Ressources humaines,2010
SSSSSDOA,SXRXX,UNDP,44250,A7,324,External,Associé(e) au Programme - Gestion axée sur les Résultats (RBM) et Contrôle (Ouvert uniquement aux nationaux ivoiriens),2014
SSSSSDOA,ROKKRA,UNDP,7529,A7,22,External,Programme Associate,2017
SSSSZZXD,Z,UNDP,27853,A10,111,,Conseiller au Programme et Assistant au Directeur de Programme (Stratégie, Suivi-Evaluation, Partenariats et Communication, Gestion et Mobilisation de Ressources),2012
SSSSZZOS,Z,UNDP,26402,A10,74,,Head of Sustainable Development Goals (SDGs) integration,2019
SSSSZZOX,Z,UNDP,4807,A10,38,,Programme Specialiste Environnement,2016
SSSSZZOF,FPZOAA,UNDP,72790,A6,264,External,Associé au Programme,2017
SSSSZZOP,Z,UNDP,31955,A6,97,,Associé(e)  aux Finances – Poste national,2012
SSSSZZOP,Z,UNDP,87088,A16,196,,Assistant (e) aux Finances,2019
SSSSZZOP,PRSPDS,UNDP,47910,A6,139,External,Associé(e)  aux Finances,2014
SSSSZZOP,PRSPDS,UNDP,49610,A16,64,External,Associé(e)  aux Finances - (Etre de Nationalité Malienne),2014
SSSSZZKS,Z,UNDP,24407,A6,190,,Associé (e) au programme,2011
SSSSZZKZ,Z,UNDP,4853,A9,33,,Operations Analyst -NOB,2016
SSSSZZAK,Z,UNDP,27952,A7,51,,Finance Associate (Open to Mauritius Nationality only),2019
SSSSZZAF,Z,UNDP,12783,A9,16,,Operations Analyst (NO-B) (Open to Mauritian Nationals Only),2017
SSSSZZAA,PDAAXD,UNDP,20589,A6,32,Internal,Executive Associate to RR (Open to Mauritius Nationality Only),2019
SSSSZZAR,Z,UNDP,32818,A14,59,,Driver to the Head of Office (Senior Driver) - For Mauritian Nationals Only,2012
SSSSZZAD,Z,UNDP,32819,A13,93,,Driver - For Mauritian Nationals Only,2012
SSSSZZAP,Z,UNDP,31200,A16,82,,Procurement Assistant - For Mauritian Nationals,2012
SSSSZZAP,KSZZDZXP,UNDP,22335,A16,27,External,Procurement Assistant (Open to Mauritius Nationality only),2019
SSSSZZAP,KSZZDZXP,UNDP,23739,A16,16,External,Procurement Assistant (Open to Mauritius Nationality only) (Re-advertised),2019
SSSSZZRS,Z,UNDP,10946,A8,23,,Programme Analyst - Head of Social Economic Unit (Mauritian Nationals only to Apply),2017
SSSSZZRO,Z,UNDP,26168,A15,312,,Administrative Clerk  (FOR MAURITIAN NATIONALS ONLY),2011
SSSSZZRO,DROPZX,UNDP,38446,A15,510,External,Administrative Clerk,2013
SSSSZZRO,KSZZZDRA,UNDP,15780,A15,73,External,Administrative Clerk,2018
SSSSZZRR,Z,UNDP,10904,A7,19,,Procurement Associate G7,2017
SSSSZZRR,Z,UNDP,20335,A7,24,,Procurement Associate,2010
SSSSZZRR,KSZZZSDX,UNDP,13807,A7,83,External,Procurement Associate,2018
SSSSZZRP,AXXZXO,UNDP,17564,A7,23,Internal,Finance Associate,2018
SSSSZZDO,Z,UNDP,54248,A9,95,,National Programme Officer (NPO) Democratic Governance,2015
SSSSZZDO,FKKKSP,UNDP,35808,A9,76,External,National Programme Officer (NPO),2013
SSSSZZDA,RXPDZ,UNDP,20874,A9,179,Internal,Gerente de Operaciones (Operations Manager),2011
SSSSZZDA,RXPDZ,UNDP,25908,A9,64,Internal,Operations Manager,2011
SSSSZZDD,Z,UNDP,52269,A9,6,,Communications Analyst,2014
SSSSZZDD,RXDRR,UNDP,54307,A9,18,External,COMMUNICATIONS ANALYST,2015
SSSSZZPZ,Z,UNDP,26643,A14,30,,Driver to the Head of Office,2011
SSSSZZPO,Z,UNDP,26185,A10,21,,ASSISTANT RESIDENT REPRESENTATIVE (Governance, Justice and Human Rights Team Leader),2011
SSSSZZPA,SRDZFF,UNDP,17141,A9,22,External,Programme Analyst (Justice and Human Rights Portfolio),2010
SSSSZZPA,ASOAP,UNDP,28011,A9,12,External,PROGRAMME ANALYST (JUSTICE AND HUMAN RIGHTS PORTFOLIO),2012
SSSSZZPA,KSZZZOZZ,UNDP,17083,A9,19,External,Programme Analyst vacancy - UNDP Country Office Moldova,2018
SSSSZZPD,Z,UNDP,13426,A7,4,,Human Resources Associate/Head of Human Resources Unit (internal vacancy) - UNDP Moldova,2017
SSSSZZPD,Z,UNDP,51453,A7,2,,Human Resources Associate / Head of Human Resources Unit (Open to  Moldova  Nationals Only),2014
SSSSZXOF,Z,UNDP,10540,A6,10,,UNDP Finance Associate (FTA-GS6),2017
SSSSZXOA,RAZFKZ,UNDP,10517,A13,5,External,UNDP Driver (FTA-GS2),2017
SSSSZXOA,RAZFKZ,UNDP,10970,A13,5,External,UNDP Driver (FTA-GS2),2017
SSSSZFKS,Z,UNDP,40756,A7,180,,Administrative Associate,2013
SSSSZFKX,Z,UNDP,14662,A7,49,,Programme Associate,2010
SSSSZADK,Z,UNDP,33644,A16,186,,Assistant/e de Programme, VNU,2012
SSSSZADK,XDDASK,UNDP,4337,A16,99,External,Administrative Assistant,2016
SSSSZAPS,PKZSSP,UNDP,26587,A6,6,Internal,Associé (e) aux Services Communs ( Ouvert uniquement aux candidat(e)s de nationalité comorienne),2019
SSSSZAPS,PKZSSP,UNDP,27332,A6,37,Internal,Associé(e) aux Services Communs ( Ouvert uniquement aux candidat(e)s de nationalité comorienne),2019
SSSSZAPF,Z,UNDP,18694,A16,119,,UNV Country Operations Assistant (only Bangladeshi nationals are eligible to apply),2010
SSSSZAPF,Z,UNDP,19537,A16,168,,UNV Country Operations Assistant (Re-advertisement) only Bangladeshi nationals are eligible to apply,2010
SSSSZAPF,FZKZKA,UNDP,35466,A16,287,External,UNV Programme Assistant,2013
SSSSZROK,XAROPX,UNDP,21252,A6,124,Internal,Programme Associate,2011
SSSSZRDR,Z,UNDP,27719,A6,107,,Local Security Assistant,2012
SSSSZDAP,FKAFDZ,UNDP,23840,A7,59,Internal,Associé(e) aux Ressources Humaines - PNUD Guinée Conakry,2019
SSSSZDRF,Z,UNDP,25294,A6,88,,Assistant (e) aux Finances,2019
SSSSZDRA,Z,UNDP,5760,A10,19,,Statistics Specialist(uniquement les candidats de Nationalité guinéenne).,2016
SSSSZDDD,RAZDXO,UNDP,64374,A7,20,Internal,Procurement Associate (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZDPS,Z,UNDP,22573,A10,43,,Economiste National,2011
SSSSZDPZ,Z,UNDP,16123,A9,22,,Finance Analyst,2018
SSSSZDPX,Z,UNDP,16381,A6,48,,Finance Associate,2018
SSSSZDPO,Z,UNDP,13942,A7,37,,Finance Associate,2018
SSSSZDPO,Z,UNDP,18361,A7,2,,Finance Associate,2010
SSSSZDPO,Z,UNDP,4808,A7,15,,Finance Associate,2016
SSSSZDPO,Z,UNDP,5909,A7,45,,Finance Associate (Re-advertisement),2016
SSSSZDPO,ASFZSX,UNDP,22537,A7,144,External,Finance Associate,2011
SSSSZDPO,KRPKXS,UNDP,12467,A7,61,Internal,Finance Associate,2017
SSSSZDPK,Z,UNDP,23341,A10,20,,Programme Specialist - Sustainable Development Portfolio Team Leader,2019
SSSSZDPK,Z,UNDP,26684,A10,21,,Re-Advertisement - Programme Specialist - Sustainable Development Portfolio Team Leader,2019
SSSSZDPK,AOAXKR,UNDP,64376,A10,24,Internal,Programme Specialist/Sustainable Development (Open Only to Guinea Bissau Nationals),2016
SSSSZDPA,KZKSAR,UNDP,64373,A7,27,Internal,ICT Associate (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZDPR,DRZKFK,UNDP,64371,A7,65,External,Re-advertisement - Administrative Associate (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZDPD,Z,UNDP,4928,A7,30,,Programme Associate,2016
SSSSZDPD,Z,UNDP,64377,A7,52,,Programme Associate (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZDPP,Z,UNDP,57152,A7,19,,Republication - Associé(e) aux Ressources Humaines,2015
SSSSZPSS,RPDPSP,UNDP,64379,A7,34,External,Programme Associate  (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZPSX,PDRKPX,UNDP,8842,A16,61,External,Finance Assistant,2017
SSSSZPSO,RODDF,UNDP,64378,A7,28,External,Programme Associate (Open Only to Nationals and Residents of Guinea Bissau),2016
SSSSZPSA,Z,UNDP,12283,A14,27,,Chauffeur Principal,2017
SSSSZPZS,Z,UNDP,12622,A6,13,,Human Resources Associate,2017
SSSSZPZS,KSZZDDAA,UNDP,23783,A6,32,External,Human Resources Associate (open only to nationals of Guyana),2019
SSSSZPZZ,Z,UNDP,60726,A6,70,,Executive Associate to the Resident Coordinator - (Open Only to Nationals of Guyana),2015
SSSSZPZZ,KSZZSZAK,UNDP,17423,A6,36,External,Executive Associate to the Resident Coordinator (Open only to nationals of Guyana),2018
SSSSZPZK,Z,UNDP,12597,A16,17,,Operations Assistant,2017
SSSSZPZK,Z,UNDP,13790,A16,56,,Operations Assistant (Open only to nationals of Guyana),2017
SSSSZPZK,Z,UNDP,9833,A16,56,,Operations Assistant,2017
SSSSXKOS,Z,UNDP,22223,A16,854,,READVERTISEMENT:  Programme Assistant - Management Support Unit -  (Ugandan Nationals Only),2012
SSSSXKOS,Z,UNDP,30229,A16,734,,Programme Assistant - Management Support Unit (Re-advertised),2012
SSSSXKOZ,DKAFXP,UNDP,22237,A10,252,External,Team Leader Governance      (Ugandan Nationals Only),2011
SSSSXKOO,KOOFOA,UNDP,22225,A16,1496,Internal,READVERTISEMENT:  Programme Assistant - Growth and Poverty Reduction (Ugandan Nationals Only),2012
SSSSXKOA,Z,UNDP,22183,A15,1504,,READVERTISEMENT:  Administrative Assistant/ Registry and Housing - (Ugandan Nationals Only),2012
SSSSXKOA,Z,UNDP,30230,A15,1084,,Administrative Clerk - Registry and Housing (Re-advertised),2012
SSSSXKOR,FRAXZR,UNDP,24833,A6,16,Internal,Procurement Associate,2011
SSSSXKOR,FRAXZR,UNDP,24921,A6,436,Internal,Procurement Associate,2011
SSSSXKOP,KXDADO,UNDP,37563,A6,415,External,Human Resources Associate (Open to Ugandan Nationals Only),2013
SSSSXKKZ,PSADRA,UNDP,22182,A15,1013,External,READVERTISEMENT:  Administrative Assistant/Logistics and Transports - (Ugandan Nationals Only),2012
SSSSXKKK,Z,UNDP,22190,A10,107,,Economist - (Ugandan Nationals Only),2011
SSSSXKKK,Z,UNDP,40594,A10,132,,National Economist - (Open to Ugandan Nationals Only),2013
SSSSXKKD,Z,UNDP,89417,A10,5,,Programme Specialist, Democratic Governance  - Team Leader (Only UNDP Ukraine National Personnel can apply),2020
SSSSXKKD,AKFKRD,UNDP,64102,A9,4,Internal,Programme Analyst (Governance) , FTA (UNDP CO),2016
SSSSXKKD,XKPSRX,UNDP,7664,A9,81,External,Programme Analyst (Governance),2017
SSSSXKKP,DXXZZO,UNDP,10312,A14,70,Internal,Driver,2017
SSSSXKFO,Z,UNDP,26566,A6,65,,Procurement Associate, FTA (UNDP Country Office),2011
SSSSXKFR,Z,UNDP,29094,A6,61,,Executive Associate to UNDP RR/UN RC (UN Resident Coordinator Office),2012
SSSSXKFR,Z,UNDP,31989,A6,21,,Re-advertisement Executive Associate to UNDP RR/UN RC (UN Resident Coordinator Office),2012
SSSSXKAF,FDAFAX,UNDP,22036,A6,156,External,Executive Associate to RR,2011
SSSSXKAR,Z,UNDP,36349,A9,31,,Economic Development Analyst (only UAE Nationals),2013
SSSSXKAR,ASFZKK,UNDP,15682,A9,154,Internal,Programme Analyst - Economic Growth,2010
SSSSXKAD,Z,UNDP,15668,A10,108,,Programme Specialist - Head of Programme,2010
SSSSXKAD,RXDOX,UNDP,36351,A9,55,External,Programme Analyst, Democratic Governance(only UAE Nationals),2013
SSSSXKRZ,Z,UNDP,19618,A9,3,,Programme Analyst (Private Sector/CSR) - UAE Nationals only,2010
SSSSXKRX,Z,UNDP,39175,A16,534,,Human Resources (HR) Assistant,2013
SSSSXKPR,FORROS,UNDP,22729,A6,33,External,Programme Associate (vacancy extension),2011
SSSSXKPR,FORROS,UNDP,25734,A6,22,External,Programme Associate (Biodiversity),2011
SSSSXKPP,Z,UNDP,3871,A14,30,,Driver to the Head of Office (Re-advertised),2016
SSSSXKPP,Z,UNDP,5235,A14,37,,Driver to the Head of Office (Re-advertised),2016
SSSSXKPP,Z,UNDP,60970,A14,54,,Driver to the Head of Office (Extended*),2015
SSSSXFSK,Z,UNDP,27170,A6,34,,Executive Associate to UN Resident Coordinator,2019
SSSSXFSK,ADSXKX,UNDP,43631,A6,35,External,Executive Associate to UNRC/UNDP RR and DRR,2014
SSSSXFSF,PSKXZS,UNDP,14988,A6,50,External,Finance Associate,2010
SSSSXFSF,PXZPA,UNDP,4980,A6,46,External,Finance Associate,2016
SSSSXFSD,PKOODO,UNDP,23576,A16,35,External,Human Resources (HR) Assistant,2011
SSSSXFSP,APKRSP,UNDP,36082,A7,26,External,Administrative Associate/Head of Administrative Services Unit,2013
SSSSXFZX,Z,UNDP,22695,A10,89,,Operations Manager,2011
SSSSXFZO,Z,UNDP,48273,A9,99,,Programme Analyst (Poverty, Socio-Economic Policies and Human Development),2014
SSSSXFZO,Z,UNDP,51791,A9,21,,Gerente de Proyectos, Especialista en Pobreza y Desarrollo Humano Sostenible y Económico,2014
SSSSXFZK,Z,UNDP,50743,A16,1,,FTA RR Assistant GS5,2014
SSSSXDPK,RRSSP,UNDP,64604,A7,10,Internal,Human Resources (HR) Associate (ICS-7),2016
SSSSXDPD,FRFOPP,UNDP,4714,A6,24,External,Programme Associate,2016
SSSSXPSP,FZZPKO,UNDP,8541,A6,4,Internal,Programme Associate,2017
SSSSXPZP,Z,UNDP,8550,A6,5,,Finance/Treasury Associate,2018
SSSSXPZP,RXORAP,UNDP,11701,A16,34,External,Finance Assistant,2017
SSSSXPXS,Z,UNDP,15897,A14,8,,Chauffeur du RR/CR,2018
SSSSXPXR,Z,UNDP,17091,A10,86,,Operations Manager,2018
SSSSXPXR,Z,UNDP,19018,A9,59,,Operations Manager,2018
SSSSXPKZ,RZSKRD,UNDP,52263,A9,39,Internal,Re-advertisement - Operations Analyst - (Open to Angola Nationals Only),2015
SSSSXPKO,Z,UNDP,51479,A10,7,,Programme Specilaist - Governance (Only Nationals of Angola),2014
SSSSXPFA,DXAKKZ,UNDP,7123,A6,11,Internal,Procurement Associate,2017
SSSSXPAP,Z,UNDP,7425,A6,12,,Finance Associate,2016
SSSSXPRS,Z,UNDP,7422,A8,7,,Operations Analyst,2016
SSSSXPRD,KSZZZDDA,UNDP,15320,A6,54,External,Programme Associate,2018
SSSSXPDS,Z,UNDP,7424,A6,10,,Human Resources Associate,2016
SSSSXPPZ,KSZZSZRO,UNDP,16055,A9,57,External,Programme Analyst,2018
SSSSXPPO,Z,UNDP,54555,A10,51,,Programme Specialist, Public Policy and Democratic Governance Group  (Open to Bolivian Nationals Only),2015
SSSSXPPK,PDRORD,UNDP,7423,A16,36,External,Administrative Assistant,2017
SSSSXPPF,KXSKKX,UNDP,3734,A8,30,Internal,UN Coordination Analyst,2016
SSSSOSSX,Z,UNDP,12980,A10,7,,Sector Leader (Energy &Env.),2017
SSSSOSSX,Z,UNDP,27959,A10,10,,Sector Leader (CC&NRM),2019
SSSSOSSX,Z,UNDP,33179,A9,20,,Sector Coordinator: Energy and Environment,2012
SSSSOSSO,ZDFRZR,UNDP,4984,A9,15,Internal,Programme Resources Planning and Management Analyst,2016
SSSSOSSA,Z,UNDP,18921,A9,108,,Programme Management Analyst,2010
SSSSOSSR,Z,UNDP,33180,A9,23,,Sector Coordinator: Human Security and Justice,2012
SSSSOSXZ,Z,UNDP,49797,A6,2,,Administrative and Procurement Associate - (Open only to internal candidates of the Botswana UNDP Office),2014
SSSSOSXZ,Z,UNDP,53606,A6,243,,Administrative Associate (Procurement) - (Open to Botswana Nationals Only),2015
SSSSOSXZ,KSZZZFPO,UNDP,16086,A7,54,External,Procurement and Administrative Associate,2018
SSSSOSXF,Z,UNDP,49800,A13,1,,Driver (Open only to internal candidates of the Botswana UNDP Office),2014
SSSSOSXF,Z,UNDP,50490,A13,407,,Re-Advertised - Driver,2014
SSSSOSXR,Z,UNDP,12524,A7,166,,Human Resources Associate,2017
SSSSOSXR,Z,UNDP,49805,A7,2,,Human Resources Associate - (Open only to internal candidates of the Botswana UNDP Office),2014
SSSSOSXR,Z,UNDP,50494,A7,472,,Re-Advertised - Human Resources Associate,2014
SSSSOSXP,Z,UNDP,7291,A6,31,,EXECUTIVE ASSOCIATE,2016
SSSSOSOF,SPKRZD,UNDP,27489,A16,114,External,Human Resources Assistant,2012
SSSSOSOF,SPKRZD,UNDP,30613,A16,115,External,Human Resources Assistant (Open to Zimbabwean Nationals Only),2012
SSSSOSOF,SFSRRK,UNDP,54240,A16,120,External,Human Resources Assistant - (Open to Zimbabwe Nationals Only),2015
SSSSOSKX,Z,UNDP,27490,A7,232,,Administrative Associate,2012
SSSSOSKR,Z,UNDP,44669,A16,5,,Assistant aux Finances.,2014
SSSSOSFO,Z,UNDP,20070,A16,19,,Programme Assistant (Democratic Governance),2018
SSSSOSAF,Z,UNDP,24630,A9,122,,Programme Analyst/Environment (For Rwandan nationals only),2011
SSSSOSAD,Z,UNDP,24635,A9,299,,Programme Analyst/Poverty (For Rwandan nationals only),2011
SSSSOSAD,KSZZSAKK,UNDP,18455,A9,44,External,Programme Analyst (Poverty) - For Rwandese Nationals only,2018
SSSSOSRA,Z,UNDP,47025,A16,147,,Human Resources (HR) Assistant  - (Open to South African Nationals only),2014
SSSSOSRP,Z,UNDP,22596,A16,242,,Administrative Assistant,2019
SSSSOSDZ,Z,UNDP,19841,A13,52,,Driver,2018
SSSSOSDD,Z,UNDP,5592,A9,3,,ICT Analyst (Manager) (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSOAFX,Z,UNDP,18144,A6,76,,Republication / Associé(e) aux Finances - PNUD Bujumbura,2018
SSSSOAFX,Z,UNDP,44746,A6,4,,Associé(e) aux Finances - (Poste uniquement ouvert aux candidats internes au PNUD Burundi),2014
SSSSOAFX,Z,UNDP,5716,A6,70,,Associé(e) aux Finances,2016
SSSSOAFX,Z,UNDP,7854,A6,38,,Associée aux Finances (Republication),2017
SSSSOAFX,KSZZPXFS,UNDP,20848,A6,95,External,Republication / Associé(e) aux Finances - PNUD Bujumbura,2019
SSSSOAFK,Z,UNDP,35551,A6,122,,Associé(e) au Programme (être de nationalité burundaise),2013
SSSSOAFK,XRFFPP,UNDP,44742,A6,7,External,Associé(e) au Programme - (Poste uniquement ouvert aux candidats internes au PNUD Burundi),2014
SSSSOAFK,XRFFPP,UNDP,46810,A6,72,External,Associé(e) au Programme Gouvernance et Etat de Droit,2014
SSSSOAAS,Z,UNDP,13923,A9,61,,Analyste au Programme-Réduction de la pauvreté, Relèvement et Moyens de Subsistance Durables,2018
SSSSOAAS,Z,UNDP,44725,A9,3,,Analyste au Programme (poste uniquement ouvert aux candidats internes au PNUD Burundi),2014
